,time,Nc_4,Nc_3,Nc_2,Nc_1,R_{rs},R_{cd},R_{fs},V_4,V_3,V_2,V_1,ShSt_{rs},ShSt_{fs},Emass_4,Emass_3,Emass_2,Emass_1,Ekin_4,Ekin_3,Ekin_2,Ekin_1,Eint_4,Eint_3,Eint_2,Eint_1
5300,10209.16724573713,249.0,246.0,217.0,288.0,306067000721896.94,306068573801570.8,306069299262007.0,1.8554829574960765e+39,8.5329505901647e+38,1.0022451842615761e+40,8.695638769457513e+39,0.04769016293336925,0.01851267912832477,0.015407682533188805,4.732226351767394e+38,8.35338778821698e+38,1.402082714610831e+39,3.032840799495142e+38,5.94478350602703e+40,1.048798416115039e+41,1.3890615430038327e+41,6.03467419404087e+40,2.3505764743824002e+38,9.26477742061973e+37,1.9276792459583827e+36
5400,10401.41315263001,244.0,251.0,221.0,284.0,311830173033839.3,311831781168040.9,311832519546916.3,1.9730343280021016e+39,9.020185252609654e+38,1.0254876018873832e+40,8.847359038087316e+39,0.10595906179931269,0.016454929262489815,0.017476816110742144,5.009908575212327e+38,8.831316980927942e+38,1.435137712247502e+39,3.0848481184332293e+38,6.296636827369862e+40,1.1088094649237833e+41,1.421934762258773e+41,6.13871144352404e+40,2.486181928292184e+38,9.79371854716247e+37,2.0263440283315382e+36
5500,10593.45703266844,240.0,255.0,225.0,280.0,317587303064022.9,317588932109504.1,317589683501047.8,2.0666889480926982e+39,9.525111572973536e+38,1.0483083694877031e+40,9.02034173301466e+39,0.10927754368931986,0.014349462177016825,0.01935080547708634,5.2833527331454084e+38,9.32616969379897e+38,1.467512937600125e+39,3.1482512686420335e+38,6.635295286097003e+40,1.1709407124748725e+41,1.4541429713429208e+41,6.26305368892831e+40,2.625688285629892e+38,1.0342179478507638e+38,2.1255232934702636e+36
5600,10785.19521891483,235.0,260.0,229.0,276.0,323335255496966.0,323336918867481.6,323337683367949.6,2.1908014338257582e+39,1.0047771322567618e+39,1.0706657915649737e+40,9.159830163155863e+39,0.03695544685866059,0.012212798447662543,0.0208432424475693,5.581198187587147e+38,9.838129939990835e+38,1.4991627991358796e+39,3.194309162172403e+38,7.012126318330118e+40,1.2352157366757876e+41,1.485638480347052e+41,6.356214987251567e+40,2.771566148829893e+38,1.0910289544220487e+38,2.2251899551897076e+36
5700,10976.85740804769,230.0,265.0,234.0,271.0,329080928308989.44,329082627360551.5,329083413800981.3,2.3228166857228178e+39,1.0639998242705657e+39,1.092048435342128e+40,9.288434640192583e+39,0.050231029188795295,0.010105531410268043,0.02188203581514725,5.88998015546658e+38,1.0414926275482196e+39,1.525819085709626e+39,3.2384366298018576e+38,7.403694340133214e+40,1.307517279776226e+41,1.5111057575990966e+41,6.44441596047477e+40,2.9221787012840544e+38,1.1546978497122246e+38,1.842970895760279e+36
5800,11168.53248160636,226.0,269.0,238.0,267.0,334827002877738.8,334828722107912.75,334829520905514.25,2.4253033079839916e+39,1.1200223386785097e+39,1.1134577084085407e+40,9.443443021409233e+39,0.058141094698146656,0.008118276789146117,0.022531828894318817,6.1943000804737355e+38,1.0965924808283307e+39,1.5561617928343867e+39,3.2948349868831104e+38,7.780196706967452e+40,1.3767242419376767e+41,1.5412571853202575e+41,6.555449385450429e+40,3.0774171769850473e+38,1.2158159468283022e+38,1.9270775338403378e+36
5900,11360.34425612928,221.0,274.0,242.0,263.0,340577160930212.06,340578914919540.7,340579726163056.4,2.5647473963024972e+39,1.1781140526062703e+39,1.1343569668241308e+40,9.558263042317225e+39,0.025281992576972723,0.024423756056301427,0.0076162175228340345,6.524910197895462e+38,1.1535682659675653e+39,1.585755326698958e+39,3.3328812219744464e+38,8.198958849776882e+40,1.4482842906651335e+41,1.5706809125061991e+41,6.632165056066758e+40,3.239253020209508e+38,1.279061949813707e+38,2.016660762854122e+36
6000,11552.32491071577,217.0,278.0,246.0,259.0,346332394963014.3,346334170467615.44,346334994252573.56,2.6779613848124713e+39,1.2382849298855206e+39,1.1547224146930535e+40,9.69584342206668e+39,0.06631039255994398,0.02321876466130046,0.009537214735019894,6.850225703295284e+38,1.2126152819136889e+39,1.6147775799347435e+39,3.3857004623058113e+38,8.602366639597647e+40,1.5224420207326698e+41,1.5995549049955428e+41,6.734250882472316e+40,3.404938965810678e+38,1.3444669831270448e+38,2.1128713075627483e+36
6100,11744.54115124052,212.0,283.0,250.0,255.0,352094679066692.75,352096488484055.7,352097324879545.25,2.823832169773791e+39,1.3005669501237902e+39,1.174531485399006e+40,9.797106863547671e+39,0.04678872298049863,0.021694747972724082,0.0116746971892141,7.205245846749375e+38,1.2736611912435831e+39,1.643031036350509e+39,3.4174324908822266e+38,9.050904604933046e+40,1.5991053671529768e+41,1.6276874677654762e+41,6.799827058734117e+40,3.578886849943733e+38,1.4121170795674647e+38,2.2159975038411323e+36
6200,11936.77669378117,207.0,288.0,254.0,251.0,357857540647926.1,357859385143903.25,357860234272913.75,2.979006542352846e+39,1.364935901561672e+39,1.1937292486372095e+40,9.884852841012014e+39,0.10599309337040519,0.019931200066001686,0.013838304721981443,7.571848763964735e+38,1.336817977225611e+39,1.6705782365134986e+39,3.446824174857575e+38,9.515421952824555e+40,1.6784151448582117e+41,1.6551343090471666e+41,6.85900978464976e+40,3.757896228717271e+38,1.4819892284479299e+38,2.323428952376541e+36
6300,12129.01571127814,203.0,292.0,258.0,247.0,363620520644836.06,363622385977310.25,363623247944425.5,3.101861446330079e+39,1.4313908644042617e+39,1.2122866676048107e+40,1.0000412004901918e+40,0.1093290255021151,0.01797020762341428,0.015975393783740133,7.931256527036058e+38,1.4019040205567074e+39,1.697105807759611e+39,3.491035983970427e+38,9.960440813796156e+40,1.7601424762590553e+41,1.6815858492559218e+41,6.944629937729109e+40,3.941426898382289e+38,1.5541455347043112e+38,2.4342899629763773e+36
6400,12321.25849291587,198.0,297.0,262.0,243.0,369383600075150.7,369385499651814.75,369386374564422.56,3.264147387656313e+39,1.4999776759285466e+39,1.2301724223698195e+40,1.0071760338352454e+40,0.037563903619886485,0.01588163361455952,0.018007457359072943,8.322352214786852e+38,1.4691746987019254e+39,1.7228502980946138e+39,3.5130108093741484e+38,1.0455103617837621e+41,1.8446095660559872e+41,1.7072753782727699e+41,6.990273325611701e+40,4.1326554310318555e+38,1.628604756032361e+38,2.547213066802876e+36
6500,12513.20877471697,193.0,302.0,266.0,239.0,375137909532359.1,375139844676611.75,375140732635836.56,3.435808529252079e+39,1.5706239426206655e+39,1.2473291695500306e+40,1.0128339561483189e+40,0.048638703486740154,0.013793590107178622,0.01979220046764585,8.723923447669581e+38,1.5383347167021132e+39,1.7473907230934138e+39,3.531318997562069e+38,1.0964209120641398e+41,1.9314427188263998e+41,1.731778828936638e+41,7.027222752343425e+40,4.3291852363898605e+38,1.705355121158166e+38,2.6584967049145544e+36
6600,12704.90732356635,189.0,306.0,270.0,235.0,380884687766131.2,380886643173341.94,380887544264854.56,3.568823861930288e+39,1.643363023962214e+39,1.263734028485463e+40,1.0217970438250934e+40,0.05948398954423806,0.011652119850780851,0.021143264426719544,9.118655741555166e+38,1.6097095075688683e+39,1.7710333475046294e+39,3.565783091222995e+38,1.1452571048244621e+41,2.0210518895549994e+41,1.755400042453386e+41,7.094168580473033e+40,4.5304850791425254e+38,1.7844066424117278e+38,2.7714031029033836e+36
6700,12896.55279149949,184.0,311.0,275.0,230.0,386629860255229.2,386631850391551.0,386632773200581.5,3.7486507165975294e+39,1.725248536332693e+39,1.2786809847994813e+40,1.025516629432484e+40,0.026134720122102273,0.009573845716935203,0.022083641239354357,9.546539637153871e+38,1.6896098026284268e+39,1.787493711031228e+39,3.576570241400037e+38,1.1994514474648954e+41,2.121219313729164e+41,1.7704026800818968e+41,7.117010391598523e+40,4.739239390601439e+38,1.872546479868464e+38,2.2155287966112702e+36
6800,13088.26469762871,180.0,315.0,279.0,226.0,392377037551887.5,392379049318302.6,392379984508420.5,3.8944413603637305e+39,1.802423641432332e+39,1.2935419770753325e+40,1.0320654266529715e+40,0.06583380474557732,0.02516627027639906,0.006342962597124302,9.963032225283763e+38,1.765273926305832e+39,1.8086435822286458e+39,3.605123090563238e+38,1.2511048611144712e+41,2.216255730608184e+41,1.7914945164757387e+41,7.1699162247435e+40,4.952129033107085e+38,1.9567102107167646e+38,2.3094362415004187e+36
6900,13280.08490190157,175.0,320.0,283.0,222.0,398127449114271.5,398129494837440.8,398130442504182.06,4.081254152631119e+39,1.8820229972365678e+39,1.3075821886508946e+40,1.0339131786906335e+40,0.04631540965406655,0.024139912151651677,0.008098109846723878,1.0417892777187657e+39,1.843545291338062e+39,1.829049753586696e+39,3.607110994746434e+38,1.3085806572036602e+41,2.314560761711447e+41,1.8118681430572906e+41,7.1770710242469555e+40,5.174505303175367e+38,2.043322186283316e+38,2.4103684144969853e+36
7000,13472.14990121261,170.0,325.0,287.0,218.0,403885198048334.1,403887278899284.44,403888239105273.06,4.279300048381216e+39,1.9640885394903927e+39,1.320783579903205e+40,1.0340257182136533e+40,0.10603142718451086,0.022827912580357435,0.010099321819828866,1.088512762409468e+39,1.9240996315063226e+39,1.8482880106429236e+39,3.60580153305829e+38,1.367788547262242e+41,2.4157271248491897e+41,1.83110855033439e+41,7.175338308133316e+40,5.40277526016031e+38,2.132517281275133e+38,2.5194674730113206e+36
7100,13664.38987471376,166.0,329.0,291.0,214.0,409648206749597.8,409650308393799.56,409651281249280.94,4.435263687969127e+39,2.0486219774081405e+39,1.3331088643387598e+40,1.0376984821596705e+40,0.10947658093351631,0.021249504490072457,0.012240735664297064,1.1341571572373183e+39,2.0068034118505617e+39,1.8661661985049753e+39,3.6233102057537244e+38,1.4242956645980544e+41,2.519588940000607e+41,1.8490229662990197e+41,7.207283550302263e+40,5.636224609231553e+38,2.224325422362283e+38,2.6361882803439356e+36
7200,13856.63626963442,161.0,334.0,295.0,210.0,415411394471734.06,415413530387886.8,415414516011858.1,4.641002203935912e+39,2.135576806483859e+39,1.3445178060901534e+40,1.0356995827025884e+40,0.036720167153786676,0.01944029432502936,0.014405253929237194,1.1837244040027627e+39,2.092125376938272e+39,1.8830516123276314e+39,3.612763300068486e+38,1.4869922902640658e+41,2.6267316464578058e+41,1.8659717888568277e+41,7.188648876632743e+40,5.878473676309986e+38,2.3187057249361525e+38,2.7571919202099256e+36
7300,14048.88003696045,156.0,339.0,299.0,206.0,421174502169924.25,421176673610589.25,421177672097976.75,4.8576193198648297e+39,2.2249508404375024e+39,1.3549817923923666e+40,1.0318914861604366e+40,0.048959586882422634,0.017417547541597633,0.016530689560547263,1.2345499111136462e+39,2.179712458155154e+39,1.8985420621154304e+39,3.598032583116128e+38,1.551412672032042e+41,2.7367114770649394e+41,1.8815572882807384e+41,7.159958445483883e+40,6.1269373852218886e+38,2.415742907799651e+38,2.881124084915675e+36
