branch,sep,s1,off,bias,n,regime,s1_fit,sep_fit
fc,2.2,1.3,1.25,0.034748070917016594,1,FC,1.4828776175602305,2.2185271566709672
fc,2.2,1.3,1.5,0.030639246823435995,1,FC,1.4428326625792067,2.227018104806834
fc,2.2,1.3,1.75,0.032005684180350324,1,FC,1.4471347648716943,2.2336961494621774
fc,2.2,1.3,2.0,,0,,,
fc,2.2,1.3,2.5,0.030639246823436106,1,FC,1.457379076054502,2.2431473600481713
fc,2.2,1.3,3.0,,0,,,
fc,2.2,1.3,4.0,,0,,,
fc,2.2,1.3,5.0,,0,,,
fc,2.2,1.3,6.0,,0,,,
fc,2.2,1.3,7.0,,0,,,
fc,2.2,1.45,-0.25,,0,,,
fc,2.2,1.45,0.0,0.03246220663016863,1,FC*,2.8305419815624306,2.086055086456608
fc,2.2,1.45,0.25,0.0341363728410512,1,FC*,2.3826669695086475,2.164064959201515
fc,2.2,1.45,0.5,0.032647369621305655,1,FC*,2.126989546403053,2.209365761834601
fc,2.2,1.45,0.75,0.034340623528582026,1,FC*,2.0061495076282663,2.2322339567933733
fc,2.2,1.45,1.0,0.02291926499491803,1,FC,1.627927920139243,2.2013669700776903
fc,2.2,1.45,1.1,0.019439087009202827,1,FC,1.5896390962397655,2.2044625086941827
fc,2.2,1.45,1.15,0.022669727799821682,1,FC,1.598819140473982,2.207174250876076
fc,2.2,1.45,1.25,0.019191460279883832,1,FC,1.5685337675955389,2.209535213011976
fc,2.2,1.45,1.5,0.020430734687585494,1,FC,1.5608244486581093,2.216653370268617
fc,2.2,1.45,1.75,0.02167316689782528,1,FC,1.566685448041035,2.221900249635031
fc,2.2,1.45,2.0,0.02291926499491781,1,FC,1.5800439448269814,2.2248065807186252
fc,2.2,1.45,2.5,0.020430734687585494,1,FC,1.5771052305284399,2.229145221585233
fc,2.2,1.45,3.0,0.0229192649949177,1,FC,1.6013771598954045,2.231927002477309
fc,2.2,1.45,4.0,0.0229192649949177,1,FC,1.6155822350953997,2.2350492115226044
fc,2.2,1.45,5.0,0.02291926499491781,1,FC,1.624779580661908,2.2367755767089084
fc,2.2,1.45,6.0,0.02291926499491881,1,FC,1.6267327884664793,2.2371197306239523
fc,2.2,1.45,7.0,0.02291926499491803,1,FC,1.626732789592238,2.2371197306239528
fc,2.2,1.7,-0.25,,0,,,
fc,2.2,1.7,0.0,0.022381727325320067,1,FC*,3.0658301987811454,2.102271091406912
fc,2.2,1.7,0.25,0.02396258674275431,1,FC*,2.5664087149568955,2.1736543410512157
fc,2.2,1.7,0.5,0.022098528829626374,1,FC*,2.286849530698457,2.2081138427578964
fc,2.2,1.7,0.75,0.00874345437550239,1,FC,1.8742850552192096,2.186875172756324
fc,2.2,1.7,1.0,0.005549204059497548,1,FC,1.7780239724554614,2.1977048515239987
fc,2.2,1.7,1.1,0.006824316513643125,1,FC,1.7711780380489626,2.2013100776535217
fc,2.2,1.7,1.15,0.005336938405250624,1,FC,1.7547020492984915,2.2020535400395804
fc,2.2,1.7,1.25,0.006611594931319575,1,FC,1.7521371649756643,2.205633825111744
fc,2.2,1.7,1.5,0.0076761612526293765,1,FC,1.7535849351639743,2.2086391144106883
fc,2.2,1.7,1.75,0.008743454375502724,1,FC,1.7613740721185682,2.212370354608446
fc,2.2,1.7,2.0,0.005549204059497215,1,FC,1.7477193872954044,2.2145761318279913
fc,2.2,1.7,2.5,0.0076761612526293765,1,FC,1.7721680713776058,2.21735876879104
fc,2.2,1.7,3.0,0.005549204059497326,1,FC,1.7698898183264233,2.2194326626540244
fc,2.2,1.7,4.0,0.005549204059497437,1,FC,1.7843216601431449,2.2215840718770488
fc,2.2,1.7,5.0,0.005549204059497548,1,FC,1.793731155458033,2.2227898911380612
fc,2.2,1.7,6.0,0.005549204059497881,1,FC,1.7957394520938954,2.22303189195999
fc,2.2,1.7,7.0,0.005549204059497992,1,FC,1.795739449415381,2.2230318919599905
