depth,s1,off,a_edge,bias,n,bias_spread,regime
4.0,0.8,0.5,0.91666057566198,0.0536859792115049,3,0.0034181197194749213,FC*
4.0,0.8,0.75,0.9933641504494123,0.05978533434952771,3,0.006188123172089943,FC*
4.0,0.8,1.0,1.0651695574650173,0.06528143303425386,3,0.007943484384669519,FC*
4.0,0.8,1.35,1.15063597860603,0.06841871296919,3,0.013868047521473303,FC
4.0,1.0,-0.25,0.667262962681119,0.025380880450392957,3,0.0031053216465358746,FC*
4.0,1.0,0.0,0.7377432468247954,0.0287093191901584,3,0.003384380832726963,FC*
4.0,1.0,0.25,0.8228419940537157,0.03262315426555066,3,0.00371536354973645,FC*
4.0,1.0,0.5,0.9166605756619797,0.035557834004112276,3,0.004458648620311645,FC*
4.0,1.0,0.75,1.0104791572702434,0.04081567399217615,3,0.005034471007060226,FC*
4.0,1.0,1.0,1.0955779044991634,0.04645070716207204,3,0.005780144108413987,FC*
4.0,1.0,1.35,1.1896024197820185,0.038073855616298946,3,0.00840769842243383,FC
4.0,1.2,-0.25,0.6359895382535883,0.01782368739682731,3,0.003571946713752383,FC*
4.0,1.2,0.0,0.7106683799813941,0.019089985527650215,3,0.00412664932699236,FC*
4.0,1.2,0.25,0.8068805313070969,0.021932234140116542,3,0.004540573510824597,FC*
4.0,1.2,0.5,0.9166605756619789,0.02534898231487433,3,0.0050233651250062294,FC*
4.0,1.2,0.75,1.026440620016862,0.02948359940479513,3,0.005594881876370028,FC*
4.0,1.2,1.0,1.1226527713425642,0.013679342630329069,3,0.0027261773005037293,FC
4.0,1.2,1.35,1.2207945109690252,0.02131657921424664,3,0.0036318044896872514,FC
4.0,1.4,-0.25,0.6104406605475798,0.01177313352998303,3,0.004116621100744289,VFC
4.0,1.4,0.0,0.6868273510722318,0.013562307948514762,3,0.004525637030756036,FC*
4.0,1.4,0.25,0.792131157573755,0.015722141530038924,3,0.00499442184694443,FC*
4.0,1.4,0.5,0.9166605756619798,0.0183518225354035,3,0.005534530672122284,FC*
4.0,1.4,0.75,1.041189993750204,0.019901672852305635,3,0.006555576466264479,FC*
4.0,1.4,1.0,1.1464938002517275,0.007276417230878314,3,0.005128141238874062,FC
4.0,1.4,1.35,1.2453835355188885,0.011356234384704789,3,0.005719320632198155,FC
4.0,1.7,-0.25,0.5809541324884266,0.007993687006128384,3,0.00429610262116964,VFC
4.0,1.7,0.0,0.6566080841231418,0.00825979435585041,3,0.0049446291156434174,FC*
4.0,1.7,0.25,0.772288549579233,0.00970839855129583,3,0.005487711176435761,FC*
4.0,1.7,0.5,0.9166605756619791,0.010182272124342454,3,0.00642259037965498,FC*
4.0,1.7,0.75,1.0610326017447262,0.0025864483049550433,3,0.004557319083273892,FC
4.0,1.7,1.0,1.1767130672008168,0.002805752336774714,3,0.0063013418819256595,FC
4.0,1.7,1.35,1.2725283670057814,0.004334944558926283,3,0.008043176484131886,FC
4.0,2.0,-0.25,0.5596361382403184,0.0039283489317167115,3,0.004753321043319492,VFC
4.0,2.0,0.0,0.6321282864539309,0.004680667069593507,3,0.005280854950698077,FC*
4.0,2.0,0.25,0.7550660617367729,0.005613184686164489,3,0.005893866996144692,FC*
4.0,2.0,0.5,0.9166605756619797,0.0067825676887034074,3,0.006608878112365657,FC*
4.0,2.0,0.75,1.078255089587186,0.0003529127066529969,3,0.004836077703088748,FC
4.0,2.0,1.0,1.2011928648700276,0.0003303011120778428,3,0.006530344199655258,FC
4.0,2.0,1.35,1.291109641781901,0.0009527406819157905,3,0.008402412224209344,FC
4.0,2.5,-0.25,0.5364010992700862,0.0002932655416409043,3,0.005177663024327039,VFC
4.0,2.5,0.0,0.6012921585355859,0.001955862718062936,3,0.005439533680224706,VFC
4.0,2.5,0.25,0.7315403378916595,0.0015966986891780555,3,0.006311335162655862,FC*
4.0,2.5,0.5,0.9166605756619807,0.0021164283518724605,3,0.007126899185249669,FC*
4.0,2.5,0.75,1.1017808134323008,-0.0010214385174253104,3,0.004938946738182959,FC
4.0,2.5,1.0,1.2320289927883732,-0.0012623275293605813,3,0.005901293306522837,FC
4.0,2.5,1.35,1.3099910282236735,-0.0019210958424266493,3,0.0093583753625191,FC
5.0,0.6,-0.25,0.7496156341953277,0.04476774886189135,3,0.0011715144725900073,FC*
5.0,0.6,0.0,0.8017927359706515,0.048788601722288195,3,0.0012935061499801392,FC*
5.0,0.6,0.25,0.8581135103284482,0.05294438070295704,3,0.0009319599196707662,FC*
5.0,0.6,0.5,0.916666396642927,0.05790292491927873,3,0.0010765275049663403,FC*
5.0,0.6,0.75,0.9752192829574063,0.06152397278551166,3,0.0029757708644903014,FC*
5.0,0.6,1.0,1.0315400573152036,0.06750379743015411,3,0.003515540738891043,FC*
5.0,0.6,1.35,1.1031013936965974,0.07736068591774559,3,0.004536093177792244,FC*
5.0,0.8,-0.25,0.7050140114504012,0.027353440160944098,3,0.0015278278741133189,FC*
5.0,0.8,0.0,0.76815741483989,0.029120090743121867,3,0.0017481136207845305,FC*
5.0,0.8,0.25,0.8399628218554946,0.0322208058400005,3,0.001864646620330701,FC*
5.0,0.8,0.5,0.916666396642927,0.03576199710512806,3,0.0020142771159269435,FC*
5.0,0.8,0.75,0.9933699714303588,0.039817705688567795,3,0.0022255201502163757,FC*
5.0,0.8,1.0,1.0651753784459637,0.043004102197518455,3,0.002638530931603711,FC*
5.0,0.8,1.35,1.1506417995869773,0.026966687000760103,3,0.004662083648641069,FC
5.0,1.0,-0.25,0.6672687836620678,0.016999240273497824,3,0.002189501074963296,FC*
5.0,1.0,0.0,0.7377490678057438,0.018906087478556304,3,0.0023389580398643917,FC*
5.0,1.0,0.25,0.8228478150346636,0.02110511402933331,3,0.002504856450192494,FC*
5.0,1.0,0.5,0.9166663966429277,0.022537213277387447,3,0.002865164476253401,FC*
5.0,1.0,0.75,1.0104849782511913,0.025380880450392624,3,0.003105321646537207,FC*
5.0,1.0,1.0,1.0955837254801113,0.028709319190158806,3,0.003384380832726852,FC*
5.0,1.0,1.35,1.1896082407629656,0.013523723654394951,3,0.0007489895976340311,FC
5.0,1.2,-0.25,0.6359953592345353,0.011784257907749174,3,0.002497983537582793,FC*
5.0,1.2,0.0,0.7106742009623428,0.012351118209412778,3,0.0028082136186817763,FC*
5.0,1.2,0.25,0.8068863522880451,0.013893274762546834,3,0.0030340634887259244,FC*
5.0,1.2,0.5,0.9166663966429273,0.015698222003068103,3,0.0032870589923631455,FC*
5.0,1.2,0.75,1.0264464409978096,0.017823687396827086,3,0.003571946713752938,FC*
5.0,1.2,1.0,1.1226585923235117,0.0056861878694488555,3,0.0020408804753608845,FC
