logr,z,step,barT,x,cls_deep,cls_prod,mid_deep,mid_prod,a_deep,a_prod,da,bhi_deep,bhi_prod,dlog_bhi,nuM_deep,nuM_prod,sep_deep,s1_deep,off_deep,depth_deep,bias_deep,total
-4.0,4,1896,218.03258347010998,166.93845124969872,FC,VFC,plateau_recentred,plateau,0.5031795100983392,0.4887283957043397,0.014451114393999487,0.00141198070458183,0.0015825643685243671,-0.04953262144426855,1370.011098624957,1370.011098624957,6.229459728829981,1.7383109648400537,0.9203690330763887,7.149828761906369,-0.00035194560442702166,0.014803059998426508
-4.0,4,1899,223.97242515471962,171.48634017398453,FC,VFC,plateau_recentred,plateau,0.5032309182603749,0.48904025462626016,0.014190663634114753,0.0013719578011974901,0.0015345308098017453,-0.048634858969164495,1400.0387407653852,1400.0387407653852,6.229331928903364,1.7374323084797656,0.9080088246037263,7.1373407535070905,-0.0003509380401546398,0.014541601674269393
-4.0,4,1902,230.07408540184218,176.15812681933303,FC,VFC,plateau_recentred,plateau,0.503093172184432,0.4887121953113058,0.014380976873126172,0.0013370700660757762,0.0014972065890668312,-0.049127563676306885,1361.7909101720868,1361.7909101720868,6.227638511640235,1.7426989167738394,0.8985156544196364,7.126154166059871,-0.00035586983319683675,0.014736846706323008
-4.0,4,1905,236.34197261974307,180.95718652000207,FC*,VFC,plateau,plateau,0.5023816090567462,0.4883764962911576,0.014005112765588634,0.0013417111124884205,0.001460699634568974,-0.036901903857352376,1361.7909101720868,1361.7909101720868,6.262065240722295,1.655247746078534,0.8655937760361532,7.127659016758448,0.012470880455919021,0.0015342323096696128
-4.0,4,1908,242.78061531454907,185.88698656417046,FC*,VFC,plateau,plateau,0.5024442463338028,0.48869512137919885,0.013749124954603953,0.0013040360197412242,0.0014178624334949053,-0.03634450842832096,1305.4536296887268,1305.4536296887268,6.260704647359894,1.656009991302264,0.85458494017006,7.115289587529954,0.011837464934403689,0.0019116600202002641
-4.0,4,1911,249.39466536206467,190.9510886990315,FC*,VFC,plateau,plateau,0.5021395336535224,0.48835970457344585,0.013779829080076522,0.0012736516251974828,0.0013843287513299692,-0.03618858481424864,1269.7897813808975,1269.7897813808975,6.260970271261768,1.6502658557921304,0.8440803828409962,7.105050654102764,0.011182277396751537,0.002597551683324985
-4.0,4,1914,256.18890136872017,196.15315170413044,FC*,VFC,plateau,plateau,0.5022572695282039,0.4880163147708502,0.014240954757353708,0.001240714585292782,0.001352068484185707,-0.03732680216193708,1217.2585869558147,1217.2585869558147,6.2607616245122,1.6584880552384853,0.8329102631198628,7.093671887632063,0.010598962063312779,0.003641992694040929
-4.0,4,1917,263.16823212408303,201.49693403480853,FC*,VFC,plateau,plateau,0.5023229773465402,0.48834036373572315,0.01398261361081704,0.0012053616156499222,0.00131184386183019,-0.03676479016920542,1184.0041498702587,1184.0041498702587,6.259225915465221,1.6598221620987856,0.8218914419198207,7.0811173573850414,0.009969443299366092,0.004013170311450948
-4.0,4,1920,270.33770014742475,206.98629653766113,FC*,VFC,plateau,plateau,0.5024463273384815,0.48799717498008155,0.014449152358399941,0.0011728934454782204,0.0012798762157354652,-0.03790940922808296,1184.0041498702587,1184.0041498702587,6.258539640589262,1.6715452923712597,0.8107189187191057,7.069258559308368,0.009413577493894576,0.005035574864505366
-4.0,4,1923,277.7024853309071,212.6252052399736,FC*,VFC,plateau,plateau,0.5025071956202349,0.4883200755843405,0.014187120035894452,0.0011406988269344403,0.0012431349641768754,-0.03734728657985672,1135.021906424187,1135.021906424187,6.2574491655326385,1.673613650443895,0.7997218293974964,7.057170994930135,0.008791275934353063,0.0053958441015413885
